anime_id,name,english_name,score,genres,type,episodes,premiered,producers,studios,source,duration,rating,rank,popularity,favorites,scored_by,members
52991,Sousou no Frieren,Frieren: Beyond Journey's End,9.31,"Adventure, Drama, Fantasy",TV,28,fall 2023,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",Madhouse,Manga,24 min per ep,PG-13 - Teens 13 or older,1,160,63200,603520,1035677
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,9.1,"Action, Adventure, Drama, Fantasy",TV,64,spring 2009,"Aniplex, Square Enix, Mainichi Broadcasting System, Techno Sound",Bones,Manga,24 min per ep,R - 17+ (violence & profanity),2,3,231928,2196353,3483268
9253,Steins;Gate,Steins;Gate,9.07,"Drama, Sci-Fi, Suspense",TV,24,spring 2011,"Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",White Fox,Visual novel,24 min per ep,PG-13 - Teens 13 or older,3,14,194507,1449844,2667979
60022,One Piece Fan Letter,,9.06,"Action, Adventure, Fantasy",TV Special,1,,,Toei Animation,Light novel,24 min,PG-13 - Teens 13 or older,4,2350,1970,68977,91278
38524,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,9.05,"Action, Drama, Suspense",TV,10,spring 2019,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Wit Studio,Manga,23 min per ep,R - 17+ (violence & profanity),5,21,60500,1671010,2407861
28977,Gintama°,Gintama Season 4,9.05,"Action, Comedy, Sci-Fi",TV,51,spring 2015,"TV Tokyo, Aniplex, Dentsu",Bandai Namco Pictures,Manga,24 min per ep,PG-13 - Teens 13 or older,6,344,17033,260443,656687
39486,Gintama: The Final,Gintama: The Very Final,9.04,"Action, Comedy, Drama, Sci-Fi",Movie,1,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Bandai Namco Pictures,Manga,1 hr 44 min,PG-13 - Teens 13 or older,7,1536,4437,78057,163478
11061,Hunter x Hunter (2011),Hunter x Hunter,9.03,"Action, Adventure, Fantasy",TV,148,fall 2011,"VAP, Nippon Television Network, Shueisha",Madhouse,Manga,23 min per ep,PG-13 - Teens 13 or older,8,8,218449,1852164,2981476
9969,Gintama',Gintama Season 2,9.02,"Action, Comedy, Sci-Fi",TV,51,spring 2011,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Shueisha",Sunrise,Manga,24 min per ep,PG-13 - Teens 13 or older,9,401,8337,245851,580364
15417,Gintama': Enchousen,Gintama: Enchousen,9.02,"Action, Comedy, Sci-Fi",TV,13,fall 2012,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",Sunrise,Manga,24 min per ep,PG-13 - Teens 13 or older,10,759,3095,171202,338134
