Index,Date,Day_of_Week,Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
1,8/16/24,Fri,1436,5022,2.1,937,133,4,5,385
2,8/17/24,Sat,1458,5197,2.17,924,101,4,24,385
3,8/18/24,Sun,1440,6481,2.71,1318,84,11,27,388
4,8/19/24,Mon,1567,6738,2.81,882,168,3,18,536
5,8/20/24,Tue,1500,7091,2.96,888,114,4,32,454
6,8/21/24,Wed,1454,5258,2.2,905,70,6,31,354
7,8/22/24,Thurs,1345,4705,1.98,1011,41,2,31,267
8,8/23/24,Fri,1353,3263,1.36,933,105,0,0,274
9,8/24/24,Sat,1253,2166,0.9,921,52,0,0,152
10,8/25/24,Sun,1486,5105,2.13,882,175,0,0,455
11,8/26/24,Mon,1594,10016,4.18,1190,87,39,34,552
12,8/27/24,Tue,1499,5810,2.43,882,144,5,5,431
13,8/28/24,Wed,1553,5545,2.32,879,194,7,3,532
14,8/29/24,Thurs,1625,10782,4.5,774,173,7,22,635
15,8/30/24,Fri,1738,13302,5.55,791,117,4,90,736
16,8/31/24,Sat,1557,9152,3.82,1200,113,40,21,540
17,9/1/24,Sun,1384,3559,1.49,906,117,0,0,297
18,9/2/24,Mon,1431,6266,2.62,967,95,18,15,384
19,9/3/24,Tue,1423,5716,2.39,891,90,8,29,370
20,9/4/24,Wed,1523,6885,2.88,875,173,3,12,509
21,9/5/24,Thurs,1437,5924,2.47,913,106,8,18,386
22,9/6/24,Fri,1717,13539,5.65,812,115,9,78,727
23,9/7/24,Sat,1407,5543,2.31,902,97,8,18,354
24,9/8/24,Sun,1515,8176,3.41,1281,125,21,13,490
25,9/9/24,Mon,1652,7135,2.98,748,275,0,0,687
26,9/10/24,Tue,1455,4975,2.08,895,135,6,15,413
27,9/11/24,Wed,1688,10199,4.26,707,193,33,16,702
28,9/12/24,Thurs,1462,6429,2.68,917,116,5,19,415
29,9/13/24,Fri,1743,13010,5.43,845,99,12,83,724
30,9/14/24,Sat,1491,4180,1.75,854,185,0,0,459
31,9/15/24,Sun,1182,3132,1.31,851,15,5,16,155
